gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,negative,__index_level_0__
uk.org.publicwhip/debate/2019-01-07c.121.0.8,2019-01-07,uk.org.publicwhip/debate/2019-01-07c.61.3,uk.org.publicwhip/debate/2019-01-07c.113.3,uk.org.publicwhip/debate/2019-01-07c.121.0,c121.0/8,Question put and agreed to.,NHS LONG-TERM PLAN: Leaving the EU: Tobacco Products and Public Health,uk.org.publicwhip/debate/2019-01-07c.114.0.2,house-of-commons,,408
uk.org.publicwhip/debate/2019-01-07c.135.12.2,2019-01-07,uk.org.publicwhip/debate/2019-01-07c.61.3,uk.org.publicwhip/debate/2019-01-07c.123.2,uk.org.publicwhip/debate/2019-01-07c.135.12,c135.12/2,Question put and agreed to.,NHS LONG-TERM PLAN: Committee on Standards: Cox Report,uk.org.publicwhip/debate/2019-01-07c.124.1.1,house-of-commons,,409
uk.org.publicwhip/debate/2019-01-07c.137.16.2,2019-01-07,uk.org.publicwhip/debate/2019-01-07c.137.1,uk.org.publicwhip/debate/2019-01-07c.137.15,uk.org.publicwhip/debate/2019-01-07c.137.16,c137.16/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Civil Aviation),uk.org.publicwhip/debate/2019-01-07c.137.16.1,house-of-commons,,410
uk.org.publicwhip/debate/2019-01-08b.277.4.2,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.211.0,uk.org.publicwhip/debate/2019-01-08b.277.1,uk.org.publicwhip/debate/2019-01-08b.277.4,b277.4/2,Amendment 7 agreed to.,Amendment: FINANCE (NO. 3) BILL: Minor amendments in consequence of EU withdrawal,uk.org.publicwhip/debate/2019-01-08b.277.4.3,house-of-commons,,208
uk.org.publicwhip/debate/2019-01-08b.325.6.6,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.324.0,uk.org.publicwhip/debate/2019-01-08b.325.1,uk.org.publicwhip/debate/2019-01-08b.325.6,b325.6/6,Question agreed to.,SUPPLEMENTARY: Intangible Fixed Assets: Exceptions to degrouping charges etc,uk.org.publicwhip/debate/2019-01-08b.325.6.2,house-of-commons,,209
uk.org.publicwhip/debate/2019-01-08b.329.0.9,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.324.0,uk.org.publicwhip/debate/2019-01-08b.325.1,uk.org.publicwhip/debate/2019-01-08b.329.0,b329.0/9,Question put and agreed to.,Third Reading: SUPPLEMENTARY,uk.org.publicwhip/debate/2019-01-08b.326.0.1,house-of-commons,,210
uk.org.publicwhip/debate/2019-01-08b.330.4.2,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.330.1,uk.org.publicwhip/debate/2019-01-08b.330.3,uk.org.publicwhip/debate/2019-01-08b.330.4,b330.4/2,Question agreed to.,DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-08b.330.2.1,house-of-commons,,211
uk.org.publicwhip/debate/2019-01-08b.337.2.13,2019-01-08,uk.org.publicwhip/debate/2019-01-08b.331.0,uk.org.publicwhip/debate/2019-01-08b.331.2,uk.org.publicwhip/debate/2019-01-08b.337.2,b337.2/13,Question put and agreed to.,Adjournment Debate: PETITION - MAXIMUM SENTENCES FOR CHILD CRUELTY OFFENCES,uk.org.publicwhip/debate/2019-01-08b.332.0.1,house-of-commons,,212
uk.org.publicwhip/debate/2019-01-09a.382.8.15,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.381.7,"",uk.org.publicwhip/debate/2019-01-09a.382.8,a382.8/15,Question put and agreed to.,Leave for Bill: ARMED FORCES (DEROGATION FROM EUROPEAN CONVENTION ON HUMAN RIGHTS),uk.org.publicwhip/debate/2019-01-09a.382.1.1,house-of-commons,,0
uk.org.publicwhip/debate/2019-01-09a.385.3.2,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.385.0,"",uk.org.publicwhip/debate/2019-01-09a.385.3,a385.3/2,"Main Question, as amended, put forthwith and agreed to.",BUSINESS OF THE HOUSE (SECTION 13(1)(B) OF THE EUROPEAN UNION (WITHDRAWAL) ACT 2018) (NO. 2),uk.org.publicwhip/debate/2019-01-09a.385.3.3,house-of-commons,,1
uk.org.publicwhip/debate/2019-01-09a.508.4.2,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.508.1,uk.org.publicwhip/debate/2019-01-09a.508.3,uk.org.publicwhip/debate/2019-01-09a.508.4,a508.4/2,Question agreed to.,"Approve: Anti-social Behaviour, Crime and Policing Act 2014 (Amendment) Order 2018",uk.org.publicwhip/debate/2019-01-09a.508.2.1,house-of-commons,,2
uk.org.publicwhip/debate/2019-01-09a.508.6.2,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.508.1,uk.org.publicwhip/debate/2019-01-09a.508.5,uk.org.publicwhip/debate/2019-01-09a.508.6,a508.6/2,Question agreed to.,DELEGATED LEGISLATION: Anti-Social Behaviour,uk.org.publicwhip/debate/2019-01-09a.508.4.3,house-of-commons,,3
uk.org.publicwhip/debate/2019-01-09a.513.0.18,2019-01-09,uk.org.publicwhip/debate/2019-01-09a.508.1,uk.org.publicwhip/debate/2019-01-09a.509.0,uk.org.publicwhip/debate/2019-01-09a.513.0,a513.0/18,Question put and agreed to.,Adjournment Debate: DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-09a.509.1.1,house-of-commons,,4
uk.org.publicwhip/debate/2019-01-10d.690.0.23,2019-01-10,uk.org.publicwhip/debate/2019-01-10d.687.0,"",uk.org.publicwhip/debate/2019-01-10d.690.0,d690.0/23,Question put and agreed to.,Adjournment Debate: EUROPA SCHOOL,uk.org.publicwhip/debate/2019-01-10d.687.1.1,house-of-commons,,460
uk.org.publicwhip/debate/2019-01-11a.784.1.9,2019-01-11,uk.org.publicwhip/debate/2019-01-11a.695.0,uk.org.publicwhip/debate/2019-01-11a.778.0,uk.org.publicwhip/debate/2019-01-11a.784.1,a784.1/9,Question put and agreed to.,POINTS OF ORDER: [7th Allotted Day],uk.org.publicwhip/debate/2019-01-11a.698.1.2,house-of-commons,,76
uk.org.publicwhip/debate/2019-01-14b.979.4.2,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.979.1,uk.org.publicwhip/debate/2019-01-14b.979.3,uk.org.publicwhip/debate/2019-01-14b.979.4,b979.4/2,Question agreed to.,DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-14b.979.2.1,house-of-commons,,157
uk.org.publicwhip/debate/2019-01-14b.980.1.2,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.979.1,uk.org.publicwhip/debate/2019-01-14b.980.0,uk.org.publicwhip/debate/2019-01-14b.980.1,b980.1/2,Question agreed to.,DELEGATED LEGISLATION: Corporation Tax,uk.org.publicwhip/debate/2019-01-14b.979.4.3,house-of-commons,,158
uk.org.publicwhip/debate/2019-01-14b.980.12.2,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.979.1,uk.org.publicwhip/debate/2019-01-14b.980.11,uk.org.publicwhip/debate/2019-01-14b.980.12,b980.12/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Financial Services),uk.org.publicwhip/debate/2019-01-14b.980.12.1,house-of-commons,,159
uk.org.publicwhip/debate/2019-01-14b.980.14.2,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.979.1,uk.org.publicwhip/debate/2019-01-14b.980.13,uk.org.publicwhip/debate/2019-01-14b.980.14,b980.14/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Financial Services),uk.org.publicwhip/debate/2019-01-14b.980.12.3,house-of-commons,,160
uk.org.publicwhip/debate/2019-01-14b.980.3.2,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.979.1,uk.org.publicwhip/debate/2019-01-14b.980.2,uk.org.publicwhip/debate/2019-01-14b.980.3,b980.3/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Civil Aviation),uk.org.publicwhip/debate/2019-01-14b.980.6.2,house-of-commons,,162
uk.org.publicwhip/debate/2019-01-14b.980.5.2,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.979.1,uk.org.publicwhip/debate/2019-01-14b.980.4,uk.org.publicwhip/debate/2019-01-14b.980.5,b980.5/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Merchant Shipping),uk.org.publicwhip/debate/2019-01-14b.980.3.3,house-of-commons,,161
uk.org.publicwhip/debate/2019-01-14b.989.2.3,2019-01-14,uk.org.publicwhip/debate/2019-01-14b.982.0,"",uk.org.publicwhip/debate/2019-01-14b.989.2,b989.2/3,Question put and agreed to.,Adjournment Debate: ST ROLLOX RAILWAY WORKS: CLOSURE,uk.org.publicwhip/debate/2019-01-14b.982.1.1,house-of-commons,,163
uk.org.publicwhip/debate/2019-01-15b.1017.2.23,2019-01-15,uk.org.publicwhip/debate/2019-01-15b.1017.0,"",uk.org.publicwhip/debate/2019-01-15b.1017.2,b1017.2/23,Question put and agreed to.,Leave for Bill: PUBLIC SECTOR SUPPLY CHAINS (PROJECT BANK ACCOUNTS),uk.org.publicwhip/debate/2019-01-15b.1017.2.1,house-of-commons,,193
uk.org.publicwhip/debate/2019-01-15b.1133.1.2,2019-01-15,uk.org.publicwhip/debate/2019-01-15b.1132.7,uk.org.publicwhip/debate/2019-01-15b.1133.0,uk.org.publicwhip/debate/2019-01-15b.1133.1,b1133.1/2,Question agreed to.,DELEGATED LEGISLATION: Energy Conservation,uk.org.publicwhip/debate/2019-01-15b.1132.10.3,house-of-commons,,194
uk.org.publicwhip/debate/2019-01-15b.1133.3.2,2019-01-15,uk.org.publicwhip/debate/2019-01-15b.1132.7,uk.org.publicwhip/debate/2019-01-15b.1133.2,uk.org.publicwhip/debate/2019-01-15b.1133.3,b1133.3/2,Question agreed to.,Approve: Local Government Finance Act 1988 (Non-Domestic Rating Multipliers) (England) Order 2018,uk.org.publicwhip/debate/2019-01-15b.1133.1.3,house-of-commons,,195
uk.org.publicwhip/debate/2019-01-15b.1139.3.8,2019-01-15,uk.org.publicwhip/debate/2019-01-15b.1133.4,uk.org.publicwhip/debate/2019-01-15b.1133.8,uk.org.publicwhip/debate/2019-01-15b.1139.3,b1139.3/8,Question put and agreed to.,Adjournment Debate: EUROPEAN UNION DOCUMENTS,uk.org.publicwhip/debate/2019-01-15b.1134.0.1,house-of-commons,,196
uk.org.publicwhip/debate/2019-01-16d.1168.1.13,2019-01-16,uk.org.publicwhip/debate/2019-01-16d.1167.7,"",uk.org.publicwhip/debate/2019-01-16d.1168.1,d1168.1/13,Question put and agreed to.,Leave for Bill: LOW-LEVEL LETTER BOXES (PROHIBITION),uk.org.publicwhip/debate/2019-01-16d.1168.1.1,house-of-commons,,428
uk.org.publicwhip/debate/2019-01-16d.1284.2.4,2019-01-16,uk.org.publicwhip/debate/2019-01-16d.1276.0,"",uk.org.publicwhip/debate/2019-01-16d.1284.2,d1284.2/4,Question put and agreed to.,Adjournment Debate: CAR PRODUCTION: SOLIHULL,uk.org.publicwhip/debate/2019-01-16d.1276.1.1,house-of-commons,,429
uk.org.publicwhip/debate/2019-01-17a.1394.0.7,2019-01-17,uk.org.publicwhip/debate/2019-01-17a.1365.0,"",uk.org.publicwhip/debate/2019-01-17a.1394.0,a1394.0/7,Question put and agreed to.,MENTAL HEALTH FIRST AID IN THE WORKPLACE,uk.org.publicwhip/debate/2019-01-17a.1365.1.1,house-of-commons,,102
uk.org.publicwhip/debate/2019-01-17a.1425.0.6,2019-01-17,uk.org.publicwhip/debate/2019-01-17a.1395.0,"",uk.org.publicwhip/debate/2019-01-17a.1425.0,a1425.0/6,Question put and agreed to.,CHILDREN’S SOCIAL CARE,uk.org.publicwhip/debate/2019-01-17a.1396.1.1,house-of-commons,,103
uk.org.publicwhip/debate/2019-01-17a.1433.1.3,2019-01-17,uk.org.publicwhip/debate/2019-01-17a.1395.0,uk.org.publicwhip/debate/2019-01-17a.1425.1,uk.org.publicwhip/debate/2019-01-17a.1433.1,a1433.1/3,Question put and agreed to.,Adjournment Debate: CHILDREN’S SOCIAL CARE,uk.org.publicwhip/debate/2019-01-17a.1426.0.1,house-of-commons,,104
uk.org.publicwhip/debate/2019-01-21a.101.0.3,2019-01-21,uk.org.publicwhip/debate/2019-01-21a.81.0,uk.org.publicwhip/debate/2019-01-21a.94.1,uk.org.publicwhip/debate/2019-01-21a.101.0,a101.0/3,Question put and agreed to.,Third Reading: HEALTHCARE (INTERNATIONAL ARRANGEMENTS) BILL,uk.org.publicwhip/debate/2019-01-21a.98.0.1,house-of-commons,,371
uk.org.publicwhip/debate/2019-01-21a.102.20.2,2019-01-21,uk.org.publicwhip/debate/2019-01-21a.102.1,uk.org.publicwhip/debate/2019-01-21a.102.19,uk.org.publicwhip/debate/2019-01-21a.102.20,a102.20/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Road Traffic),uk.org.publicwhip/debate/2019-01-21a.102.20.1,house-of-commons,,372
uk.org.publicwhip/debate/2019-01-21a.106.4.8,2019-01-21,uk.org.publicwhip/debate/2019-01-21a.103.0,uk.org.publicwhip/debate/2019-01-21a.103.6,uk.org.publicwhip/debate/2019-01-21a.106.4,a106.4/8,Question put and agreed to.,Adjournment Debate: COMMITTEES,uk.org.publicwhip/debate/2019-01-21a.104.0.1,house-of-commons,,373
uk.org.publicwhip/debate/2019-01-22c.163.2.19,2019-01-22,uk.org.publicwhip/debate/2019-01-22c.163.0,"",uk.org.publicwhip/debate/2019-01-22c.163.2,c163.2/19,Question put and agreed to.,Leave for Bill: GREEN DEAL (CONDUCT OF HOME ENERGY AND LIFESTYLE MANAGEMENT LTD),uk.org.publicwhip/debate/2019-01-22c.163.2.1,house-of-commons,,354
uk.org.publicwhip/debate/2019-01-22c.166.1.9,2019-01-22,uk.org.publicwhip/debate/2019-01-22c.166.0,"",uk.org.publicwhip/debate/2019-01-22c.166.1,c166.1/9,Question agreed to.,COUNTER-TERRORISM AND BORDER SECURITY BILL (PROGRAMME) (NO.3),uk.org.publicwhip/debate/2019-01-22c.166.1.1,house-of-commons,,355
uk.org.publicwhip/debate/2019-01-22c.217.1.2,2019-01-22,uk.org.publicwhip/debate/2019-01-22c.195.3,uk.org.publicwhip/debate/2019-01-22c.217.0,uk.org.publicwhip/debate/2019-01-22c.217.1,c217.1/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Intellectual Property),uk.org.publicwhip/debate/2019-01-22c.212.3.2,house-of-commons,,356
uk.org.publicwhip/debate/2019-01-22c.224.2.3,2019-01-22,uk.org.publicwhip/debate/2019-01-22c.218.0,uk.org.publicwhip/debate/2019-01-22c.218.2,uk.org.publicwhip/debate/2019-01-22c.224.2,c224.2/3,Question put and agreed to.,Adjournment Debate: PETITION - GREEN DEAL SCHEME,uk.org.publicwhip/debate/2019-01-22c.219.0.1,house-of-commons,,357
uk.org.publicwhip/debate/2019-01-23b.254.1.16,2019-01-23,uk.org.publicwhip/debate/2019-01-23b.253.5,"",uk.org.publicwhip/debate/2019-01-23b.254.1,b254.1/16,Question put and agreed to.,Leave for Bill: ANCIENT WOODLAND INVENTORY (ENGLAND),uk.org.publicwhip/debate/2019-01-23b.254.1.1,house-of-commons,,314
uk.org.publicwhip/debate/2019-01-23b.256.1.8,2019-01-23,uk.org.publicwhip/debate/2019-01-23b.256.0,"",uk.org.publicwhip/debate/2019-01-23b.256.1,b256.1/8,Question agreed to.,TENANT FEES BILL (PROGRAMME) (NO. 3),uk.org.publicwhip/debate/2019-01-23b.256.1.1,house-of-commons,,315
uk.org.publicwhip/debate/2019-01-23b.283.11.2,2019-01-23,uk.org.publicwhip/debate/2019-01-23b.283.8,uk.org.publicwhip/debate/2019-01-23b.283.10,uk.org.publicwhip/debate/2019-01-23b.283.11,b283.11/2,Question agreed to.,Approve: Spent Fuel (EU Exit) Regulations 2018,uk.org.publicwhip/debate/2019-01-23b.283.9.1,house-of-commons,,316
uk.org.publicwhip/debate/2019-01-23b.288.1.2,2019-01-23,uk.org.publicwhip/debate/2019-01-23b.283.8,uk.org.publicwhip/debate/2019-01-23b.288.0,uk.org.publicwhip/debate/2019-01-23b.288.1,b288.1/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Legal Aid and Advice),uk.org.publicwhip/debate/2019-01-23b.284.3.2,house-of-commons,,317
uk.org.publicwhip/debate/2019-01-23b.288.3.2,2019-01-23,uk.org.publicwhip/debate/2019-01-23b.283.8,uk.org.publicwhip/debate/2019-01-23b.288.2,uk.org.publicwhip/debate/2019-01-23b.288.3,b288.3/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Financial Services),uk.org.publicwhip/debate/2019-01-23b.288.1.3,house-of-commons,,318
uk.org.publicwhip/debate/2019-01-23b.315.0.2,2019-01-23,uk.org.publicwhip/debate/2019-01-23b.283.8,uk.org.publicwhip/debate/2019-01-23b.288.4,uk.org.publicwhip/debate/2019-01-23b.315.0,b315.0/2,Question put and agreed to.,Adjournment Debate: DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-23b.289.0.1,house-of-commons,,319
uk.org.publicwhip/debate/2019-01-24b.420.0.2,2019-01-24,uk.org.publicwhip/debate/2019-01-24b.378.0,"",uk.org.publicwhip/debate/2019-01-24b.420.0,b420.0/2,Question put and agreed to.,HOLOCAUST MEMORIAL DAY,uk.org.publicwhip/debate/2019-01-24b.378.1.1,house-of-commons,,363
uk.org.publicwhip/debate/2019-01-24b.446.0.2,2019-01-24,uk.org.publicwhip/debate/2019-01-24b.421.0,"",uk.org.publicwhip/debate/2019-01-24b.446.0,b446.0/2,Question put and agreed to.,APPROPRIATE ME TREATMENT,uk.org.publicwhip/debate/2019-01-24b.446.0.3,house-of-commons,,364
uk.org.publicwhip/debate/2019-01-24b.456.0.2,2019-01-24,uk.org.publicwhip/debate/2019-01-24b.421.0,uk.org.publicwhip/debate/2019-01-24b.447.1,uk.org.publicwhip/debate/2019-01-24b.456.0,b456.0/2,Question put and agreed to.,Adjournment Debate: APPROPRIATE ME TREATMENT,uk.org.publicwhip/debate/2019-01-24b.448.0.1,house-of-commons,,365
uk.org.publicwhip/debate/2019-01-28b.594.1.14,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.594.0,"",uk.org.publicwhip/debate/2019-01-28b.594.1,b594.1/14,Question agreed to.,IMMIGRATION AND SOCIAL SECURITY CO-ORDINATION (EU WITHDRAWAL) BILL: PROGRAMME,uk.org.publicwhip/debate/2019-01-28b.594.1.1,house-of-commons,,441
uk.org.publicwhip/debate/2019-01-28b.594.3.3,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.594.2,"",uk.org.publicwhip/debate/2019-01-28b.594.3,b594.3/3,Question agreed to.,IMMIGRATION AND SOCIAL SECURITY CO-ORDINATION (EU WITHDRAWAL) BILL: WAYS AND MEANS,uk.org.publicwhip/debate/2019-01-28b.594.3.1,house-of-commons,,442
uk.org.publicwhip/debate/2019-01-28b.594.5.6,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.594.4,"",uk.org.publicwhip/debate/2019-01-28b.594.5,b594.5/6,Question agreed to.,IMMIGRATION AND SOCIAL SECURITY CO-ORDINATION (EU WITHDRAWAL) BILL: MONEY,uk.org.publicwhip/debate/2019-01-28b.594.5.2,house-of-commons,,443
uk.org.publicwhip/debate/2019-01-28b.594.7.3,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.594.6,"",uk.org.publicwhip/debate/2019-01-28b.594.7,b594.7/3,Question agreed to.,BUSINESS OF THE HOUSE,uk.org.publicwhip/debate/2019-01-28b.594.7.1,house-of-commons,,444
uk.org.publicwhip/debate/2019-01-28b.612.0.4,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.595.0,uk.org.publicwhip/debate/2019-01-28b.595.2,uk.org.publicwhip/debate/2019-01-28b.612.0,b612.0/4,Question put and agreed to.,BUSINESS OF THE HOUSE (TODAY): Proxy Voting,uk.org.publicwhip/debate/2019-01-28b.596.1.1,house-of-commons,,445
uk.org.publicwhip/debate/2019-01-28b.613.1.16,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.613.0,"",uk.org.publicwhip/debate/2019-01-28b.613.1,b613.1/16,"Main Question, as amended, put and agreed to.",PROXY VOTING (TEMPORARY STANDING ORDER),uk.org.publicwhip/debate/2019-01-28b.613.1.17,house-of-commons,,446
uk.org.publicwhip/debate/2019-01-28b.614.5.2,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.614.2,uk.org.publicwhip/debate/2019-01-28b.614.4,uk.org.publicwhip/debate/2019-01-28b.614.5,b614.5/2,Question agreed to.,DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-28b.614.3.1,house-of-commons,,447
uk.org.publicwhip/debate/2019-01-28b.615.1.2,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.614.2,uk.org.publicwhip/debate/2019-01-28b.615.0,uk.org.publicwhip/debate/2019-01-28b.615.1,b615.1/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Insolvency),uk.org.publicwhip/debate/2019-01-28b.614.5.3,house-of-commons,,448
uk.org.publicwhip/debate/2019-01-28b.615.11.2,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.614.2,uk.org.publicwhip/debate/2019-01-28b.615.10,uk.org.publicwhip/debate/2019-01-28b.615.11,b615.11/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Financial Services and Markets),uk.org.publicwhip/debate/2019-01-28b.615.9.3,house-of-commons,,449
uk.org.publicwhip/debate/2019-01-28b.615.5.2,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.614.2,uk.org.publicwhip/debate/2019-01-28b.615.4,uk.org.publicwhip/debate/2019-01-28b.615.5,b615.5/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Consumer Protection),uk.org.publicwhip/debate/2019-01-28b.615.3.3,house-of-commons,,450
uk.org.publicwhip/debate/2019-01-28b.615.7.2,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.614.2,uk.org.publicwhip/debate/2019-01-28b.615.6,uk.org.publicwhip/debate/2019-01-28b.615.7,b615.7/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Civil Aviation),uk.org.publicwhip/debate/2019-01-28b.615.5.3,house-of-commons,,451
uk.org.publicwhip/debate/2019-01-28b.621.1.12,2019-01-28,uk.org.publicwhip/debate/2019-01-28b.614.2,uk.org.publicwhip/debate/2019-01-28b.615.12,uk.org.publicwhip/debate/2019-01-28b.621.1,b621.1/12,Question put and agreed to.,Adjournment Debate: DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-28b.616.0.1,house-of-commons,,452
uk.org.publicwhip/debate/2019-01-29b.665.1.10,2019-01-29,uk.org.publicwhip/debate/2019-01-29b.663.4,"",uk.org.publicwhip/debate/2019-01-29b.665.1,b665.1/10,Question put and agreed to.,Leave for Bill: SMOKING PROHIBITION (NATIONAL HEALTH SERVICE PREMISES),uk.org.publicwhip/debate/2019-01-29b.664.1.1,house-of-commons,,215
uk.org.publicwhip/debate/2019-01-29b.783.1.2,2019-01-29,uk.org.publicwhip/debate/2019-01-29b.667.0,"",uk.org.publicwhip/debate/2019-01-29b.783.1,b783.1/2,"Main Question, as amended, put and agreed to.",EUROPEAN UNION (WITHDRAWAL) ACT 2018,uk.org.publicwhip/debate/2019-01-29b.783.1.3,house-of-commons,,216
uk.org.publicwhip/debate/2019-01-29b.791.7.2,2019-01-29,uk.org.publicwhip/debate/2019-01-29b.791.2,uk.org.publicwhip/debate/2019-01-29b.791.6,uk.org.publicwhip/debate/2019-01-29b.791.7,b791.7/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Agriculture),uk.org.publicwhip/debate/2019-01-29b.791.5.3,house-of-commons,,217
uk.org.publicwhip/debate/2019-01-29b.791.9.2,2019-01-29,uk.org.publicwhip/debate/2019-01-29b.791.2,uk.org.publicwhip/debate/2019-01-29b.791.8,uk.org.publicwhip/debate/2019-01-29b.791.9,b791.9/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Environmental Protection),uk.org.publicwhip/debate/2019-01-29b.791.7.3,house-of-commons,,218
uk.org.publicwhip/debate/2019-01-29b.792.3.2,2019-01-29,uk.org.publicwhip/debate/2019-01-29b.791.2,uk.org.publicwhip/debate/2019-01-29b.792.2,uk.org.publicwhip/debate/2019-01-29b.792.3,b792.3/2,Question agreed to.,DELEGATED LEGISLATION: Radioactive Substances,uk.org.publicwhip/debate/2019-01-29b.792.1.3,house-of-commons,,219
uk.org.publicwhip/debate/2019-01-29b.799.5.7,2019-01-29,uk.org.publicwhip/debate/2019-01-29b.792.4,uk.org.publicwhip/debate/2019-01-29b.792.6,uk.org.publicwhip/debate/2019-01-29b.799.5,b799.5/7,Question put and agreed to.,Adjournment Debate: PETITION - LEVELS OF PAY IN FURTHER EDUCATION,uk.org.publicwhip/debate/2019-01-29b.793.0.1,house-of-commons,,220
uk.org.publicwhip/debate/2019-01-30a.891.2.5,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.848.1,uk.org.publicwhip/debate/2019-01-30a.889.0,uk.org.publicwhip/debate/2019-01-30a.891.2,a891.2/5,Question put and agreed to.,Third Reading: CRIME (OVERSEAS PRODUCTION ORDERS) BILL [LORDS],uk.org.publicwhip/debate/2019-01-30a.889.4.1,house-of-commons,,415
uk.org.publicwhip/debate/2019-01-30a.892.10.2,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.892.7,uk.org.publicwhip/debate/2019-01-30a.892.9,uk.org.publicwhip/debate/2019-01-30a.892.10,a892.10/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Broadcasting),uk.org.publicwhip/debate/2019-01-30a.892.14.3,house-of-commons,,418
uk.org.publicwhip/debate/2019-01-30a.892.12.2,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.892.7,uk.org.publicwhip/debate/2019-01-30a.892.11,uk.org.publicwhip/debate/2019-01-30a.892.12,a892.12/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Fisheries),uk.org.publicwhip/debate/2019-01-30a.892.10.3,house-of-commons,,416
uk.org.publicwhip/debate/2019-01-30a.892.14.2,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.892.7,uk.org.publicwhip/debate/2019-01-30a.892.13,uk.org.publicwhip/debate/2019-01-30a.892.14,a892.14/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Environmental Protection),uk.org.publicwhip/debate/2019-01-30a.892.12.3,house-of-commons,,417
uk.org.publicwhip/debate/2019-01-30a.897.1.2,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.892.7,uk.org.publicwhip/debate/2019-01-30a.897.0,uk.org.publicwhip/debate/2019-01-30a.897.1,a897.1/2,Question agreed to.,DELEGATED LEGISLATION: exiting the European Union (Merchant Shipping),uk.org.publicwhip/debate/2019-01-30a.893.1.2,house-of-commons,,419
uk.org.publicwhip/debate/2019-01-30a.897.3.2,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.892.7,uk.org.publicwhip/debate/2019-01-30a.897.2,uk.org.publicwhip/debate/2019-01-30a.897.3,a897.3/2,Question agreed to.,DELEGATED LEGISLATION: Exiting the European Union (Health Care and Associated Professions),uk.org.publicwhip/debate/2019-01-30a.897.1.3,house-of-commons,,420
uk.org.publicwhip/debate/2019-01-30a.916.2.2,2019-01-30,uk.org.publicwhip/debate/2019-01-30a.892.7,uk.org.publicwhip/debate/2019-01-30a.897.4,uk.org.publicwhip/debate/2019-01-30a.916.2,a916.2/2,Question put and agreed to.,Adjournment Debate: DELEGATED LEGISLATION,uk.org.publicwhip/debate/2019-01-30a.898.0.1,house-of-commons,,421
